Título;ISSN impresa;ISSN en linea;Área;Instituto;URL
El Hornero (Buenos Aires);0073-3407;1850-4884;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/el-hornero-buenos-aires/
El oído pensante;;2250-1776;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/el-oido-pensante/
El taco en la brea;;2362-4191;Ciencias sociales y humanidades;Facultad de Humanidades y Cicias Sociales, Universidad Nacional del Litoral ;https://www.caicyt-conicet.gov.ar/sitio/el-taco-en-la-brea/
Enfoques (Libertador San Martín);1514-6006;1669-2721;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/enfoques-libertador-san-martin/
Ensayos económicos;0325-3937;1850-6046;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/ensayos-economicos/
Epistemología e historia de la ciencia;;2525-1198;Ciencias sociales y humanidades;Facultad de Filosofía y Humanidades Universidad Nacional de Córdoba;https://www.caicyt-conicet.gov.ar/sitio/epistemologia-e-historia-de-la-ciencia/
Escritos contables y de administración (En línea);;1853-2055;Ciencias sociales y humanidades;Universidad Nacional del Sur;https://www.caicyt-conicet.gov.ar/sitio/escritos-contables-y-de-administracion-en-linea/
Espacios en blanco. Serie indagaciones;1515-9485;2313-9927;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/espacios-en-blanco-serie-indagaciones/
Estudios de filosofía práctica e historia de las ideas;1515-7180;1851-9490;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/estudios-de-filosofia-practica-e-historia-de-las-ideas/
Estudios de historia de España;;0328-0284;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/estudios-de-historia-de-espana/
Estudios de teoría literaria;;2313-9676;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/estudios-de-teoria-literaria/
Estudios del ISHiR;;2250-4397;Ciencias sociales y humanidades;Unidad Ejecutora  Red ISHIR, CONICET ;https://www.caicyt-conicet.gov.ar/sitio/estudios-del-ishir/
Estudios del trabajo;0327-5744;2545-7756;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/estudios-del-trabajo/
Estudios digital;0328-185X;1852-1568;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/estudios-digital/
Estudios económicos (En línea);0425-368X;2525-1295;Ciencias sociales y humanidades;Universidad Nacional del Sur ;https://www.caicyt-conicet.gov.ar/sitio/estudios-economicos-en-linea/
Estudios rurales;;2250-4001;Ciencias sociales y humanidades;Universidad Nacional de Quilmes ;https://www.caicyt-conicet.gov.ar/sitio/estudios-rurales/
Estudios sociales (Santa Fe);0327-4934;2250-6950;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/estudios-sociales-santa-fe/
Estudios sociales contemporáneos (En línea);;2451-5965;Ciencias sociales y humanidades;Facultad de Filosofía y Letras, Universidad Nacional de Cuyo;https://www.caicyt-conicet.gov.ar/sitio/estudios-sociales-contemporaneos-en-linea/
Estudios sociales del estado;;2422-7803;Ciencias sociales y humanidades;Ctro de Investigaciones Sociales, Consejo Nacional de Investigaciones Citíficas y Tecnológicas;https://www.caicyt-conicet.gov.ar/sitio/estudios-sociales-del-estado/
Estudios socioterritoriales;1515-6206;1853-4392;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/estudios-socioterritoriales/
Estudios y perspectivas en turismo;0327-5841;1851-1732;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/estudios-y-perspectivas-en-turismo/
Etcétera (Córdoba);;2618-4281;Ciencias sociales y humanidades;Universidad Nacional de Córdoba;https://www.caicyt-conicet.gov.ar/sitio/etcetera-cordoba/
Etica & cine;2250-5660;2250-5415;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/etica-cine/
Etnografías contemporáneas (En línea);1669-2632;2451-8050;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/etnografias-contemporaneas-en-linea/
Evaluar (En línea);;1667-4545;Ciencias sociales y humanidades;Facultad de Psicología, Universidad Nacional de Córdoba;https://www.caicyt-conicet.gov.ar/sitio/evaluar-en-linea/
FAVE. Sección ciencias agrarias;1666-7719;2346-9129;Ciencias agrarias, ingeniería y materiales;;https://www.caicyt-conicet.gov.ar/sitio/fave-seccion-ciencias-agrarias/
FAVE. Sección ciencias veterinarias;1666-938X;2362-5589;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/fave-seccion-ciencias-veterinarias/
Filología;0071-495X;2422-6009;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/filologia/
Folia histórica del nordeste;0325-8238;2525-1627;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/folia-historica-del-nordeste/
Geoacta;0326-7237;1852-7744;Ciencias exactas y naturales;;https://www.caicyt-conicet.gov.ar/sitio/geoacta/
Geográfica digital;;1668-5180;Ciencias sociales y humanidades;Facultad de Humanidades, Universidad Nacional del Nordeste;https://www.caicyt-conicet.gov.ar/sitio/geografica-digital/
Geograficando (La Plata);1850-1885;2346-898X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/geograficando-la-plata/
Grado Cero;;2683-9784;Ciencias sociales y humanidades;Universidad de Cicias Empresariales y Sociales;https://www.caicyt-conicet.gov.ar/sitio/grado-cero/
H-industri@ (Ciudad Autónoma de Buenos Aires);;1853-550X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/h-industri-ciudad-autonoma-de-buenos-aires/
Hematología (En línea);;2250-8309;Ciencias biológicas y de la salud;Sociedad Argtina de Hematología;https://www.caicyt-conicet.gov.ar/sitio/hematologia-en-linea/
Historia de la educación anuario;1669-8568;2313-9277;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/historia-de-la-educacion-anuario/
Historia regional (Villa Constitución. En línea);;0329-8213;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/historia-regional-villa-constitucion-en-linea/
Historia y Guerra;;2796-8650;Ciencias sociales y humanidades;Facultad de Filosofía y Letras, Universidad de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/historia-y-guerra/
Huellas (Santa Rosa. En línea);0329-0573;2362-5643;Ciencias sociales y humanidades;Facultad de Cicias Humanas, Universidad Nacional de La Pampa ;https://www.caicyt-conicet.gov.ar/sitio/huellas-santa-rosa-en-linea/
Iberoamerican journal of project management (Mar del Plata);;2346-9161;Ciencias agrarias, ingeniería y materiales;;https://www.caicyt-conicet.gov.ar/sitio/iberoamerican-journal-of-project-management-mar-del-plata/
Ideas (Ciudad Autónoma de Buenos Aires);;2451-6910;Ciencias sociales y humanidades;Red Argtina de Grupos de Investigación  Filosofía;https://www.caicyt-conicet.gov.ar/sitio/ideas-ciudad-autonoma-de-buenos-aires/
Imagofagia (Buenos Aires);;1852-9550;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/imagofagia-buenos-aires/
Incipit;0326-0941;2683-9199;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/incipit/
Información, cultura y sociedad;1514-8327;1851-1740;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/informacion-cultura-y-sociedad/
Insuficiencia cardíaca;1850-1044;1852-3862;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/insuficiencia-cardiaca/
Integración y conocimiento (En línea);;2347-0658;Ciencias sociales y humanidades;Universidad Nacional de Córdoba;https://www.caicyt-conicet.gov.ar/sitio/integracion-y-conocimiento-en-linea/
Interdisciplinaria;0325-8203;1668-7027;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/interdisciplinaria/
Intersecciones en antropología;1666-2105;1850-373X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/intersecciones-en-antropologia/
Intersecciones en Comunicación (En línea);;2250-4184;Ciencias sociales y humanidades;Facultad de Cicias Sociales, Universidad Nacional del Ctro de la Provincia de Buos Aires ;https://www.caicyt-conicet.gov.ar/sitio/intersecciones-en-comunicacion-en-linea/
InVet;1514-6634;1668-3498;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/invet/
Itinerantes (San Miguel de Tucumán. En línea);;2525-2178;Ciencias sociales y humanidades;Universidad del Norte Santo Tomás de Aquino;https://www.caicyt-conicet.gov.ar/sitio/itinerantes-san-miguel-de-tucuman-en-linea/
Itinerarios educativos (En línea);;2362-5554;Ciencias sociales y humanidades;Universidad Nacional del Litoral;https://www.caicyt-conicet.gov.ar/sitio/itinerarios-educativos-en-linea/
Ixtli;;2408-4751;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/ixtli/
Journal of Applied Economics;1514-0326;1667-6726;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/journal-of-applied-economics/
Journal of computer science and technology (La Plata. En línea);1666-6046;1666-6038;Ciencias exactas y naturales;;https://www.caicyt-conicet.gov.ar/sitio/journal-of-computer-science-and-technology-la-plata-en-linea/
La aljaba;0328-6169;1669-5704;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/la-aljaba/
La trama de la comunicación;1668-5628;2314-2634;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/la-trama-de-la-comunicacion/
La zaranda de ideas;1669-7456;1853-1296;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/la-zaranda-de-ideas/
Latin American applied research;0327-0793;1851-8796;Ciencias agrarias, ingeniería y materiales;;https://www.caicyt-conicet.gov.ar/sitio/latin-american-applied-research/
Latin American journal of pharmacy;0326-2383;2362-3853;Ciencias exactas y naturales;;https://www.caicyt-conicet.gov.ar/sitio/latin-american-journal-of-pharmacy/
Latin American journal of sedimentology and basin analysis;1669-7316;1851-4979;Ciencias exactas y naturales;;https://www.caicyt-conicet.gov.ar/sitio/latin-american-journal-of-sedimentology-and-basin-analysis/
Lavboratorio (En línea);;1852-4435;Ciencias sociales y humanidades;Facultad de cicias Sociales Universidad de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/lavboratorio-en-linea/
Lilloa;0075-9481;2346-9641;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/lilloa/
Lúdicamente (Ciudad Autónoma de Buenos Aires);;2250-723X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/ludicamente-ciudad-autonoma-de-buenos-aires/
Magallánica;;2422-779X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/magallanica/
Marine and fishery sciences (En línea);;2683-7951;Ciencias exactas y naturales;Instituto Nacional de Investigación y Desarrollo Pesquero;https://www.caicyt-conicet.gov.ar/sitio/marine-and-fishery-sciences-en-linea/
Masquedós (Tandil. En línea);;2469-2158;Ciencias sociales y humanidades;Universidad Nacional del Ctro de la Provincia de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/masquedos-tandil-en-linea/
Mastozoología neotropical;0327-9383;1666-0536;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/mastozoologia-neotropical/
Medicina (Buenos Aires);0025-7680;1669-9106;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/medicina-buenos-aires/
Memoria americana;0327-5752;1851-3751;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/memoria-americana/
Meteorológica;0325-187X;1850-468X;Ciencias exactas y naturales;;https://www.caicyt-conicet.gov.ar/sitio/meteorologica/
Miríada (En línea);;2250-4621;Ciencias sociales y humanidades;Facultad de Cicias Sociales, Universidad del Salvador;https://www.caicyt-conicet.gov.ar/sitio/miriada-en-linea/
Mora (Buenos Aires);0328-8773;1853-001X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/mora-buenos-aires/
Multequina (Mendoza);0327-9375;1852-7329;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/multequina-mendoza/
Mundo agrario;;1515-5994;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/mundo-agrario/
Mundo de antes;1514-982X;2362-325X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/mundo-de-antes/
Nuevo itinerario (En línea);;1850-3578;Ciencias sociales y humanidades;Universidad Nacional del Nordeste;https://www.caicyt-conicet.gov.ar/sitio/nuevo-itinerario-en-linea/
Nuevo pensamiento (San Miguel, Provincia de Buenos Aires);;1853-7596;Ciencias sociales y humanidades;Universidad del Salvador;https://www.caicyt-conicet.gov.ar/sitio/nuevo-pensamiento-san-miguel-provincia-de-buenos-aires/
Odisea (Ciudad Autónoma de Buenos Aires. 2014);;2408-445X;Ciencias sociales y humanidades;Facultad de Cicias Sociales, Universidad de Buos Aires ;https://www.caicyt-conicet.gov.ar/sitio/odisea-ciudad-autonoma-de-buenos-aires-2014/
Olivar (La Plata);1515-1115;1852-4478;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/olivar-la-plata/
OMNIA (Salta. En línea);;2618-4699;Ciencias sociales y humanidades;Facultad de Cicias Jurídicas, Universidad Católica de Salta;https://www.caicyt-conicet.gov.ar/sitio/omnia-salta-en-linea/
Orbis tertius;0328-8188;1851-7811;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/orbis-tertius/
Orientación y sociedad;1515-6877;1851-8893;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/orientacion-y-sociedad/
Otra economía;;1851-4715;Ciencias sociales y humanidades;Red de Investigadores Latinoamericanos de Economía Social y Solidaria;https://www.caicyt-conicet.gov.ar/sitio/otra-economia/
Páginas (Rosario);;1851-992X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/paginas-rosario/
Páginas de filosofía (En línea);0327-5108;1853-7960;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/paginas-de-filosofia-en-linea/
Palabra clave;1666-2938;1853-9912;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/palabra-clave/
Pampa (Santa Fe);1669-3299;2314-0208;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/pampa-santa-fe/
Papeles de trabajo (Instituto de Altos Estudios Sociales. En línea);0327-6147;1851-2577;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/papeles-de-trabajo-instituto-de-altos-estudios-sociales-en-linea/
Papeles de trabajo – Centro de Estudios Interdisciplinarios en Etnolingüística Socio-Cultural;0327-6147;1852-4508;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/papeles-de-trabajo-centro-de-estudios-interdisciplinarios-en-etnolinguistica-socio-cultural/
Papers in physics;;1852-4249;Ciencias exactas y naturales;;https://www.caicyt-conicet.gov.ar/sitio/papers-in-physics/
Párrafos geográficos (En línea);;1853-9424;Ciencias sociales y humanidades;Universidad Nacional de la Patagonia San Juan Bosco;https://www.caicyt-conicet.gov.ar/sitio/parrafos-geograficos-en-linea/
Pasado abierto;;2451-6961;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/pasado-abierto/
Patristica et Mediaevalia;;2683-9636;Ciencias sociales y humanidades;Facultad de Filosofía y Letras, Universidad de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/patristica-et-mediaevalia/
Pensum (Córdoba);;2469-0724;Ciencias sociales y humanidades;Facultad de Arquitectura, Urbanismo y Diseño Universidad Nacional de Córdoba;https://www.caicyt-conicet.gov.ar/sitio/pensum-cordoba/
Perspectivas de las ciencias económicas y jurídicas;2250-4087;2545-8566;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/perspectivas-de-las-ciencias-economicas-y-juridicas/
Perspectivas en psicología;1668-7175;1853-8800;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/perspectivas-en-psicologia/
Perspectivas revista de ciencias sociales;;2525-1112;Ciencias sociales y humanidades;Facultad de Cicia Política y Relaciones Internacionales, Universidad Nacional de Rosario;https://www.caicyt-conicet.gov.ar/sitio/perspectivas-revista-de-ciencias-sociales/
Población de Buenos Aires (En línea);;2953-3538;Ciencias sociales y humanidades;Ministerio de Hacida y Finanzas, Gobierno de la Ciudad de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/poblacion-de-buenos-aires-en-linea/
Población y sociedad;0328-3445;1852-8562;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/poblacion-y-sociedad/
Polhis (Mar del Plata);;1853-7723;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/polhis-mar-del-plata/
Polifonías;2314-0488;2314-0496;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/polifonias/
Políticas de la memoria (En línea);;2683-7234;Ciencias sociales y humanidades;Universidad Nacional de San Martín;https://www.caicyt-conicet.gov.ar/sitio/politicas-de-la-memoria-en-linea/
Postdata (Buenos Aires);1515-209X;1851-9601;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/postdata-buenos-aires/
Práctica arqueológica;;2618-2874;Ciencias sociales y humanidades;Asociación de Arqueólogos Profesionales de la República Argtina;https://www.caicyt-conicet.gov.ar/sitio/practica-arqueologica/
Prácticas de oficio;;1851-6076;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/practicas-de-oficio/
Praxis educativa (Santa Rosa);0328-9702;2313-934X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/praxis-educativa-santa-rosa/
Prismas;1666-1508;1852-0499;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/prismas/
Prohistoria (Rosario);1514-0032;1851-9504;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/prohistoria-rosario/
Propuesta educativa (Buenos Aires);0327-4829;1995-7785;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/propuesta-educativa-buenos-aires/
Proyección (Mendoza. En línea);;1852-0006;Ciencias sociales y humanidades;Facultad de Filosofía y Letras, Universidad Nacional de Cuyo;https://www.caicyt-conicet.gov.ar/sitio/proyeccion-mendoza-en-linea/
Prudentia iuris (En línea);;2524-9525;Ciencias sociales y humanidades;Facultad de Derecho y Cicias Políticas, Universidad Católica Argtina;https://www.caicyt-conicet.gov.ar/sitio/prudentia-iuris-en-linea/
Psicodebate (Buenos Aires);1515-2251;2451-6600;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/psicodebate-buenos-aires/
Psiencia. Revista latinoamericana de ciencia psicológica;2250-5490;2250-5504;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/psiencia-revista-latinoamericana-de-ciencia-psicologica/
Psocial (Ciudad Autónoma de Buenos Aires);;2422-619X;Ciencias sociales y humanidades;Facultad de Cicias Sociales, Universidad de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/psocial-ciudad-autonoma-de-buenos-aires/
Publicación electrónica de la Asociación Paleontológica Argentina;;2469-0228;Ciencias exactas y naturales;;https://www.caicyt-conicet.gov.ar/sitio/publicacion-electronica-de-la-asociacion-paleontologica-argentina/
Publicaciones de la Asociación Argentina de Humanidades Digitales;;2718-7470;Ciencias sociales y humanidades;Universidad Nacional de La Plata;https://www.caicyt-conicet.gov.ar/sitio/publicaciones-de-la-asociacion-argentina-de-humanidades-digitales/
Publicar en antropología y ciencias sociales (En línea);;2250-7671;Ciencias sociales y humanidades;Colegio de Graduados  Antropología de la República Argtina;https://www.caicyt-conicet.gov.ar/sitio/publicar-en-antropologia-y-ciencias-sociales-en-linea/
Punto Sur (Ciudad Autónoma de Buenos Aires);;2683-7404;Ciencias sociales y humanidades;Facultad de Filosofía y Letras, Universidad de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/punto-sur-ciudad-autonoma-de-buenos-aires/
Pymes, innovación y desarrollo;;2344-9195;Ciencias sociales y humanidades;Asociación Civil Red Pymes Mercosur ;https://www.caicyt-conicet.gov.ar/sitio/pymes-innovacion-y-desarrollo/
Quebracho (Santiago del Estero);0328-0543;1851-3026;Ciencias agrarias, ingeniería y materiales;;https://www.caicyt-conicet.gov.ar/sitio/quebracho-santiago-del-estero/
Quid 16;;2250-4060;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/quid-16/
Química viva;;1666-7948;Ciencias exactas y naturales;;https://www.caicyt-conicet.gov.ar/sitio/quimica-viva/
Quinto sol;0329-2665;1851-2879;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/quinto-sol/
Quintú quimün;;2591-541X;Ciencias sociales y humanidades;Facultad de Lguas Universidad Nacional del Comahue;https://www.caicyt-conicet.gov.ar/sitio/quintu-quimun/
RASAL Lingüística;;2618-3455;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/rasal-linguistica/
Realidad económica;;2618-1711;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/realidad-economica/
Realidad, tendencias y desafíos en turismo (En línea);;2545-6199;Ciencias sociales y humanidades;Facultad de Turismo, Universidad Nacional del Comahue;https://www.caicyt-conicet.gov.ar/sitio/realidad-tendencias-y-desafios-en-turismo-en-linea/
Recial (En línea);;2718-658X;Ciencias sociales y humanidades;Facultad de Filosofía y Humanidades, Universidad Nacional de Córdoba;https://www.caicyt-conicet.gov.ar/sitio/recial-en-linea/
Redes (Bernal);0328-3186;1851-7072;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/redes-bernal/
Registros (En línea);;2250-8112;Ciencias sociales y humanidades;Universidad Nacional de Mar del Plata;https://www.caicyt-conicet.gov.ar/sitio/registros-en-linea/
Relaciones (Sociedad Argentina de Antropología);0325-2221;1852-1479;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/relaciones-sociedad-argentina-de-antropologia/
Relaciones internacionales (La Plata);1515-3371;2314-2766;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/relaciones-internacionales-la-plata/
República y derecho (Mendoza);;2525-1937;Ciencias sociales y humanidades;Facultad de Derecho, Universidad Nacional de Cuyo;https://www.caicyt-conicet.gov.ar/sitio/republica-y-derecho-mendoza/
Res gesta;0325-772X;2525-0884;Ciencias sociales y humanidades;Facultad de Derecho y Cicias Sociales de Rosario, Pontificia Universidad Católica Argtina ;https://www.caicyt-conicet.gov.ar/sitio/res-gesta/
Respirar (Ciudad Autónoma de Buenos Aires);;2953-3414;Ciencias biológicas y de la salud;Asociación Latinoamericana de Tórax;https://www.caicyt-conicet.gov.ar/sitio/respirar-ciudad-autonoma-de-buenos-aires/
Rev IISE;1852-6586;2250-5555;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/rev-iise/
Revista administración pública y sociedad (En línea);;2524-9568;Ciencias sociales y humanidades;Universidad Nacional de Córdoba;https://www.caicyt-conicet.gov.ar/sitio/revista-administracion-publica-y-sociedad-en-linea/
Revista agronómica del noroeste argentino;0080-2069;2314-369X;Ciencias agrarias, ingeniería y materiales;;https://www.caicyt-conicet.gov.ar/sitio/revista-agronomica-del-noroeste-argentino/
Revista americana de medicina respiratoria;1852-1630;1852-236X;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/revista-americana-de-medicina-respiratoria/
Revista argentina de anatomía clínica;;1852-8023;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/revista-argentina-de-anatomia-clinica/
Revista argentina de antropología biológica;1514-7991;1853-6387;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-argentina-de-antropologia-biologica/
Revista argentina de cardiología;0034-7000;1850-3748;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/revista-argentina-de-cardiologia/
Revista argentina de ciencia política (Buenos Aires);0329-3092;2683-9032;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-argentina-de-ciencia-politica-buenos-aires/
Revista argentina de ciencias del comportamiento;;1852-4206;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-argentina-de-ciencias-del-comportamiento/
Revista argentina de cirugía;0048-7600;2250-639X;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/revista-argentina-de-cirugia/
Revista argentina de clínica psicológica;0327-6716;1851-7951;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/revista-argentina-de-clinica-psicologica/
Revista Argentina de Coloproctología;;2683-7846;Ciencias biológicas y de la salud;Sociedad Argtina de Coloproctología;https://www.caicyt-conicet.gov.ar/sitio/revista-argentina-de-coloproctologia/
Revista argentina de dermatología;0325-2787;1851-300X;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/revista-argentina-de-dermatologia/
