Título;ISSN impresa;ISSN en linea;Instituto;URL
A y P continuidad;2362-6089;2362-6097;Universidad Nacional de Rosario;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2362-6097&lng=es&nrm=iso
Acta bioquímica clínica latinoamericana;0325-2957;1851-6114;Federación Bioquímica de la Provincia de Buenos Aires;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0325-2957&lng=es&nrm=iso
Acta Odontológica Latinoamericana;0326-4815;1852-4834;Sociedad Argentina de Investigación Odontológica;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-4834&lng=es&nrm=iso
Agriscientia;;1668-298X;Facultad de Ciencias Agropecuarias. Universidad Nacional de Córdoba;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1668-298X&lng=es&nrm=iso
Analecta veterinaria;;1514-2590;Facultad de Ciencias Veterinarias. Universidad Nacional de La Plata;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1514-2590&lng=es&nrm=iso
Anales (Asociación Física Argentina);0327-358X;1850-1168;Asociación Física Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1850-1168&lng=es&nrm=iso
Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo;;2362-2024;Universidad de Buenos Aires. Instituto de Arte Americano e Investigaciones Estéticas Mario J. Buschiazzo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2362-2024&lng=es&nrm=iso
Análisis filosófico;;1851-9636;SADAF;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-9636&lng=es&nrm=iso
Anclajes;;1851-4669;Instituto de Investigaciones Literarias y Discursivas (IILyD). Facultad de Ciencias Humanas, Universidad Nacional de La Pampa;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-4669&lng=es&nrm=iso
Andes;;1668-8090;Universidad Nacional de Salta. Facultad de Humanidades. Centro Promocional de Investigaciones en Historia y Antropología "Dr. Guillermo Madrazo" (CEPIHA);https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1668-8090&lng=es&nrm=iso
Anuario Centro de Estudios Económicos de la Empresa y el Desarrollo;;2545-8299;Universidad de Buenos Aires;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2545-8299&lng=es&nrm=iso
Archivos argentinos de pediatría;0325-0075;1668-3501;Sociedad Argentina de Pediatría;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0325-0075&lng=es&nrm=iso
Argentinian journal of respiratory and physical therapy;;2618-4095;Asociación Civil Científica de Difusión y Promoción de la Kinesiología;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2618-4095&lng=es&nrm=iso
Arquisur revista;;2250-4206;Universidad Nacional del Litoral;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2250-4206&lng=es&nrm=iso
Astrolabio. Nueva Época;;1668-7515;Centro de Investigaciones y Estudios sobre Cultura y Sociedad;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1668-7515&lng=es&nrm=iso
Avances del Cesor;1514-3899;2422-6580;Unidad Ejecutora Investigaciones Socio-históricas Regionales (ISHIR) dependiente del Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET) y de la Universidad Nacional de Rosario (UNR);https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2422-6580&lng=es&nrm=iso
BAG. Journal of basic and applied genetics;;1852-6233;Sociedad Argentina de Genética;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-6233&lng=es&nrm=iso
Biología acuática;;1668-4869;Instituto de Limnología "Raúl A. Ringuelet";https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1668-4869&lng=es&nrm=iso
Boletín de Estética;;2408-4417;Centro de Investigaciones Filosóficas;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2408-4417&lng=es&nrm=iso
Boletín de estudios geográficos;;2525-1813;Instituto de Geografía, Facultad de Filosofía y Letras , UNCUYO;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2525-1813&lng=es&nrm=iso
Boletín de la Sociedad Argentina de Botánica;;1851-2372;Sociedad Argentina de Botánica;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-2372&lng=es&nrm=iso
Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani;0524-9767;1850-2563;Universidad de Buenos Aires. Facultad de Filosofía y Letras. Instituto de Historia Argentina y Americana "Dr. Emilio Ravignani";https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0524-9767&lng=es&nrm=iso
Bonplandia;0524-0476;1853-8460;Instituto de Botánica del Nordeste (IBONE);https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-8460&lng=es&nrm=iso
CELEHIS (Mar del Plata);;2313-9463;Universidad Nacional de Mar del Plata;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2313-9463&lng=es&nrm=iso
Ciclos en la historia, la economía y la sociedad;;1851-3735;Fundación de Investigaciones Históricas, Económicas y Sociales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-3735&lng=es&nrm=iso
Ciencia del suelo;;1850-2067;Asociación Argentina de la Ciencia del Suelo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1850-2067&lng=es&nrm=iso
Ciencia Veterinaria;1515-1883;1853-8495;Universidad Nacional de La Pampa. Facultad de Ciencias Veterinarias;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-8495&lng=es&nrm=iso
Ciencia, docencia y tecnología;;1851-1716;Universidad Nacional de Entre Ríos;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-1716&lng=es&nrm=iso
Ciencias administrativas;0009-6784;2314-3738;Universidad Nacional de La Plata;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2314-3738&lng=es&nrm=iso
Circe de clásicos y modernos;;1851-1724;Instituto de Estudios Clásicos. Facultad de Ciencias Humanas. Universidad Nacional de La Pampa;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-1724&lng=es&nrm=iso
Clío y asociados;;2362-3063;Ediciones UNL;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2362-3063&lng=es&nrm=iso
Comechingonia ;;1851-0027;AREA DE ETNOHISTORIA Y ARQUEOLOGÍA C.E.H. PROF. CARLOS S.A. SEGRETI - U.A. CONICET;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-0027&lng=es&nrm=iso
Costos y gestión;;2545-8329;Instituto Argentino de Profesores Universitarios de Costos;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2545-8329&lng=es&nrm=iso
Cuaderno urbano;;1853-3655;Universidad Nacional del Nordeste;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-3655&lng=es&nrm=iso
Cuadernos de antropología social;;1850-275X;Universidad de Buenos Aires. Facultad de Filosofía y Letras. Instituto de Ciencias Antropológicas. Sección de Antropología Social;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1850-275X&lng=es&nrm=iso
Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy;;1668-8104;Universidad Nacional de Jujuy. Facultad de Humanidades y Ciencias Sociales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1668-8104&lng=es&nrm=iso
Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos;;1853-3523;Centro de Estudios en Diseño y Comunicación, Facultad de Diseño y Comunicación, Universidad de Palermo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-3523&lng=es&nrm=iso
Cuadernos del CILHA;;1852-9615;Centro Interdisciplinario de Literatura Hispanoamericana, Facultad de Filosofía y Letras, Universidad Nacional de Cuyo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-9615&lng=es&nrm=iso
Cuyo;;1853-3175;Instituto de Filosofía Argentina y Americana. Facultad de Filosofía y Letras. Universidad Nacional de Cuyo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-3175&lng=es&nrm=iso
Darwiniana, nueva serie;0011-6793;1850-1699;Instituto de Botánica Darwinion & Museo Botánico de Córdoba;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0011-6793&lng=es&nrm=iso
Delito y sociedad;0328-0101;2468-9963;Ediciones UNL.;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2468-9963&lng=es&nrm=iso
Diaeta;;1852-7337;Asociación Argentina de Licenciados en Nutrición (AALEN);https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-7337&lng=es&nrm=iso
Educación Física y Ciencia;;2314-2561;Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La Plata;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2314-2561&lng=es&nrm=iso
El hornero;0073-3407;1850-4884;Aves Argentinas/Asociación Ornitológica del Plata;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0073-3407&lng=es&nrm=iso
El taco en la brea;;2362-4191;Ediciones UNL;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2362-4191&lng=es&nrm=iso
Enfoques;;1669-2721;Dirección Editorial UAP, Universidad Adventista del Plata;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1669-2721&lng=es&nrm=iso
Espacios en blanco. Serie indagaciones ;1515-9485;2313-9927;Núcleo de Estudios Educacionales y Sociales, Facultad de Ciencias Humanas, Universidad Nacional del Centro de la Provincia de Buenos Aires;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1515-9485&lng=es&nrm=iso
Estudios del trabajo;0327-5744;2545-7756;Asociación Argentina de Especialistas en Estudios del Trabajo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2545-7756&lng=es&nrm=iso
Estudios económicos;;2525-1295;Editorial de la Universidad Nacional del Sur;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2525-1295&lng=es&nrm=iso
Estudios Socioterritoriales;;1853-4392;Centro de Investigaciones Geográficas CIG-Instituto de Geografía, Historia y Ciencias Sociales CIG-IGEHCS CONICET/UNCPBA;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-4392&lng=es&nrm=iso
Folia Histórica del Nordeste;0325-8238;2525-1627;Instituto de Investigaciones Geohistóricas- Conicet Instituto de Historia-Facultad de Humanidades-UNNE;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0325-8238&lng=es&nrm=iso
Hematología;;2250-8309;Sociedad Argentina de Hematología;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2250-8309&lng=es&nrm=iso
Historia & Guerra;;2796-8650;Grupo de Estudios Históricos sobre la Guerra  Instituto Ravignani, unidad ejecutora Universidad de Buenos Aires/CONICET;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2796-8650&lng=es&nrm=iso
Historia de la educación - anuario;;2313-9277;Sociedad Argentina de Investigación y Enseñanza en Historia de la Educación;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2313-9277&lng=es&nrm=iso
Información, cultura y sociedad;1514-8327;1851-1740;Instituto de Investigaciones Bibliotecológicas (INIBI), Facultad de Filosofía y Letras, Universidad de Buenos Aires.;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-1740&lng=es&nrm=iso
Intersecciones en antropología;;1850-373X;Universidad Nacional del Centro de la Provincia de Buenos Aires. Facultad de Ciencias Sociales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1850-373X&lng=es&nrm=iso
Intersecciones en comunicación;;2250-4184;Universidad Nacional del Centro de La Provincia de Buenos Aires, Facultad de Ciencias Sociales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2250-4184&lng=es&nrm=iso
Lilloa;0075-9481;2346-9641;Fundación Miguel Lillo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2346-9641&lng=es&nrm=iso
Medicina (Buenos Aires);0025-7680;1669-9106;Fundación Revista Medicina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0025-7680&lng=es&nrm=iso
Memoria americana;;1851-3751;Instituto de Ciencias Antropológicas, Facultad de Filosofía y Letras, Universidad de Buenos Aires.;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-3751&lng=es&nrm=iso
Mora (Buenos Aires);;1853-001X;Universidad de Buenos Aires. Facultad de Filosofía y Letras.;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-001X&lng=es&nrm=iso
Multequina;;1852-7329;Dirección de Recursos Naturales Renovables de Mendoza, Instituto Argentino de Investigaciones de las Zonas Aridas (IADIZA-CONICET);https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-7329&lng=es&nrm=iso
Mundo agrario;;1515-5994;Centro de Estudios Histórico-Rurales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1515-5994&lng=es&nrm=iso
Nuevo Itinerario;;1850-3578;Universidad Nacional del Nordeste;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1850-3578&lng=es&nrm=iso
Olivar;;1852-4478;Centro de Teoría y Crítica Literaria, Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La PLata;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-4478&lng=es&nrm=iso
Palabra clave;;1853-9912;Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La Plata;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-9912&lng=es&nrm=iso
Pampa (Santa Fe);;2314-0208;Ediciones UNL;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2314-0208&lng=es&nrm=iso
Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural;;1852-4508;Universidad Nacional de Rosario, Facultad de Humanidades y Artes, Centro Interdisciplinario de Estudios Etnolingüísticos y Antropológicos Sociales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-4508&lng=es&nrm=iso
Población y sociedad;0328-3445;1852-8562;Instituto Superior de Estudios Sociales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-8562&lng=es&nrm=iso
Praxis educativa;0328-9702;2313-934X;UNLPam;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0328-9702&lng=es&nrm=iso
Prismas;;1852-0499;Centro de Historia Intelectual, Departamento de Ciencias Sociales, Universidad Nacional de Quilmes;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-0499&lng=es&nrm=iso
Prudentia Iuris;;2524-9525;Universidad Católica Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2524-9525&lng=es&nrm=iso
Quinto sol;;1851-2879;Instituto de Estudios Socio-Históricos. Facultad de Ciencias Humanas. Universidad Nacional de La Pampa;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-2879&lng=es&nrm=iso
RASAL lingüística;;2618-3455;SOCIEDAD ARGENTINA DE ESTUDIO LINGÜÍSTICOS;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2618-3455&lng=es&nrm=iso
Recial;;2718-658X;Universidad Nacional de Córdoba;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2718-658X&lng=es&nrm=iso
Relaciones;0325-2221;1852-1479;Sociedad Argentina de Antropología;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-1479&lng=es&nrm=iso
Relaciones internacionales;;2314-2766;Universidad Nacional de La Plata Facultad de Ciencias Jurídicas y Sociales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2314-2766&lng=es&nrm=iso
Respirar;;2953-3414;Asociación Latinoamericana de Tórax;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2953-3414&lng=es&nrm=iso
Revista americana de medicina respiratoria;;1852-236X;Asociación Argentina de Medicina Respiratoria;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-236X&lng=es&nrm=iso
Revista argentina de antropología biológica;;1514-7991;Asociación de Antropología Biológica Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1514-7991&lng=es&nrm=iso
Revista argentina de cardiología;;1850-3748;Sociedad Argentina de Cardiología;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1850-3748&lng=es&nrm=iso
Revista argentina de cirugía;2250-639X;2250-639X;Asociación Argentina de Cirugía;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2250-639X&lng=es&nrm=iso
Revista argentina de dermatología;;1851-300X;Asociación Argentina de Dermatología;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-300X&lng=es&nrm=iso
Revista argentina de estudios de juventud;;1852-4907;Universidad Nacional de La Plata Facultad de Periodismo y Comunicación Social;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-4907&lng=es&nrm=iso
Revista argentina de microbiología;0325-7541;1851-7617;Asociación Argentina de Microbiología;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0325-7541&lng=es&nrm=iso
Revista argentina de radiología;;1852-9992;Sociedad Argentina de Radiología (SAR) y Federación Argentina de Diagnóstico por Imágenes y Terapia Radiante (FAARDIT);https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-9992&lng=es&nrm=iso
Revista argentina de reumatología;0327-4411;2362-3675;Sociedad Argentina de Reumatología;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2362-3675&lng=es&nrm=iso
Revista Argentina de Salud Pública;1852-8724;1853-810X;Ministerio de Salud de la Nación Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-810X&lng=es&nrm=iso
Revista de Ciencia y Tecnología;;1851-7587;Centro de Investigación y Desarrollo Tecnológico, Facultad de Ciencias Exactas, Química y Naturales, Universidad Nacional de Misiones;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-7587&lng=es&nrm=iso
Revista de enseñanza de la física;0326-7091;2250-6101;Asociación de Profesores de Física de la Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2250-6101&lng=es&nrm=iso
Revista de extensión universitaria;;2346-9986;Universidad Nacional del Litoral;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2346-9986&lng=es&nrm=iso
Revista de geología aplicada a la ingeniería y al ambiente;;2422-5703;Asociación Argentina de Geología Aplicada a la Ingeniería;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2422-5703&lng=es&nrm=iso
Revista de historia americana y argentina;2314-1549;2314-1549;Editorial de la Facultad de Filosofía y Letras-Universidad Nacional de Cuyo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2314-1549&lng=es&nrm=iso
Revista de historia del derecho;;1853-1784;Instituto de Investigaciones de Historia del Derecho;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-1784&lng=es&nrm=iso
Revista de la Asociación Argentina de Ortopedia y Traumatología;;1852-7434;Asociación Argentina de Ortopedia y Traumatología;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-7434&lng=es&nrm=iso
Revista de la Asociación Odontológica Argentina;;2683-7226;Asociación Odontológica Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2683-7226&lng=es&nrm=iso
Revista de la Facultad de Ciencias Agrarias. Universidad Nacional de Cuyo;;1853-8665;Revista de la Facultad de Ciencias Agrarias. Universidad Nacional de Cuyo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-8665&lng=es&nrm=iso
Revista de la Sociedad Argentina de Diabetes;0325-5247;2346-9420;Sociedad Argentina de Diabetes;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2346-9420&lng=es&nrm=iso
Revista de la Sociedad Entomológica Argentina;0373-5680;1851-7471;Sociedad Entomológica Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0373-5680&lng=es&nrm=iso
Revista de nefrologia, dialisis y trasplante;;2346-8548;Asociación Regional de Diálisis y Trasplantes Renales de Capital Federal y Provincia de Buenos Aires;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2346-8548&lng=es&nrm=iso
Revista de Psicología;;2469-2050;Pontificia Universidad Católica Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2469-2050&lng=es&nrm=iso
Revista del Museo Argentino de Ciencias Naturales;;1853-0400;Museo Argentino de Ciencias Naturales Bernardino Rivadavia e Instituto Nacional de Investigación de las Ciencias Naturales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-0400&lng=es&nrm=iso
Revista del Museo de Antropología;1852-060X;1852-4826;Museo de Antropología, Facultad de Filosofía y Humanidades, Universidad Nacional de Córdoba;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-4826&lng=es&nrm=iso
Revista Electrónica de Derecho Internacional Contemporáneo;;2618-303X;Universidad Nacional de La Plata, Facultad de Ciencias Jurídicas y Sociales Instituto de Relaciones Internacionales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2618-303X&lng=es&nrm=iso
Revista electrónica de investigación en educación en ciencias;;1850-6666;Facultad de Ciencias Exactas. Universidad Nacional del Centro de la Provincia de Buenos Aires y el Núcleo de Investigación en Educación en Ciencias y Tecnología (NIECyT);https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1850-6666&lng=es&nrm=iso
Revista Eurolatinoamericana de Derecho Administrativo;;2362-583X;Universidad Nacional del Litoral;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2362-583X&lng=es&nrm=iso
Revista FAVE. Sección Ciencias veterinarias;;2362-5589;Universidad Nacional del Litoral;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2362-5589&lng=es&nrm=iso
Revista Iberoamericana de Tecnología en Educación y Educación en Tecnología;1851-0086;1850-9959;Red de Universidades Nacionales con Carreras de Informática;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1850-9959&lng=es&nrm=iso
Revista latinoamericana de filosofía;;1852-7353;Centro de Investigaciones Filosóficas;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-7353&lng=es&nrm=iso
Revista psicodebate: psicología, cultura y sociedad;;2451-6600;Universidad de Palermo, Facultad de Ciencias Sociales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2451-6600&lng=es&nrm=iso
Revista SAAP;;1853-1970;Sociedad Argentina de Análisis Político;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-1970&lng=es&nrm=iso
Revista Teología;;2683-7307;Pontificia Universidad Católica Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2683-7307&lng=es&nrm=iso
Revista Universitaria de Geografía;;1852-4265;Departamento de Geografía y Turismo. Universidad Nacional del Sur.;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-4265&lng=es&nrm=iso
Revista veterinaria;;1669-6840;Universidad Nacional del Nordeste, Facultad de Ciencias Veterinarias;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1669-6840&lng=es&nrm=iso
RIA. Revista de investigaciones agropecuarias;;1669-2314;Instituto Nacional de Tecnologia Agropecuaria (INTA);https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1669-2314&lng=es&nrm=iso
RiHumSo;;2250-8139;Universidad Nacional de La Matanza;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2250-8139&lng=es&nrm=iso
Runa;;1851-9628;Instituto de Ciencias Antropológicas, Facultad de Filosofía y Letras, Universidad de Buenos Aires;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-9628&lng=es&nrm=iso
SaberEs;1852-4418;1852-4222;Facultad de Ciencias Económicas y Estadística. Universidad Nacional de Rosario;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-4222&lng=es&nrm=iso
Salud colectiva;1669-2381;1851-8265;Universidad Nacional de Lanús;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-8265&lng=es&nrm=iso
Salud(i)Ciencia;1667-8682;1667-8990;Sociedad Iberoamericana de Informaciòn cientìfica;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1667-8990&lng=es&nrm=iso
Scripta Mediaevalia;1851-8753;2362-4868;Centro de Estudios Filosóficos Medievales, Facultad de Filosofía y Letras, Universidad Nacional de Cuyo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-8753&lng=es&nrm=iso
Serie correlación geológica;;1666-9479;Instituto Superior de Correlación Geológica (INSUGEO-CONICET/UNT);https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1666-9479&lng=es&nrm=iso
Sociedad y religión;0326-9795;1853-7081;Area Sociedad, Cultura y Religión, Centro de Estudios e Investigaciones Laborales - CONICET;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-7081&lng=es&nrm=iso
Sociohistórica;;1852-1606;Centro de Investigaciones Socio Históricas, Departamento de Historia, Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La Plata;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-1606&lng=es&nrm=iso
Synthesis (La Plata);0328-1205;1851-779X;Centro de Estudios Helénicos;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0328-1205&lng=es&nrm=iso
Tecnología y Ciencia;;1666-6933;Universidad Tecnológica Nacional. Secretaría de Ciencia y Tecnología;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1666-6933&lng=es&nrm=iso
Temas de historia argentina y americana;;2618-1924;Universidad Católica Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2618-1924&lng=es&nrm=iso
Temas y Debates;;1853-984X;Universidad Nacional de Rosario. Facultad de Ciencia Política y Relaciones Internacionales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-984X&lng=es&nrm=iso
Tópicos;1666-485X;1668-723X;Asociación Revista de Filosofía de Santa Fe;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1666-485X&lng=es&nrm=iso
Trabajo y sociedad;;1514-6871;Universidad Nacional de Santiago del Estero. Facultad de Humanidades y Ciencias Sociales. Instituto de Estudios para el desarrollo Social (INDES);https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1514-6871&lng=es&nrm=iso
Visión de futuro;1668-8708;1669-7634;Facultad de Ciencias Económicas, Universidad Nacional de Misiones;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1668-8708&lng=es&nrm=iso
